"algor","algor_props_alpha","algor_props_beta","algor_props_clustercount","algor_props_distance","algor_props_hypersvaryonquery","algor_props_iterations","algor_props_kmeans_distance","algor_props_kmeans_iterations","algor_props_proposalstdev","algor_props_samplehypers","algor_props_usekmeans","burn_in","cat_groups","chain_count","clusters","command","cross_folds","dataset","dict_size","iters","job","max_word","min_freq","min_word","output_file","sample_lag","seed","start_time","stem","stop","overall","perplexity","run_time_mins"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","8","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-5.log","","314159265","2013/03/06 15:09:33","True","True","1891.975518435343","1891.975518435343","18.41666666418314"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","10","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-6.log","","314159265","2013/03/06 15:09:32","True","True","1921.343241062296","1921.343241062296","20.699999999254942"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","12","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-7.log","","314159265","2013/03/06 15:09:32","True","True","1952.1705167637597","1952.1705167637597","25.86666666343808"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","15","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-8.log","","314159265","2013/03/06 15:09:33","True","True","1920.6172444547765","1920.6172444547765","39.58333333209157"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","20","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-9.log","","314159265","2013/03/06 15:09:32","True","True","1853.6241293667395","1853.6241293667395","25.61666666343808"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","70","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-0.log","","314159265","2013/03/13 16:31:28","True","True","1406.3845404638982","1406.3845404638982","591.5500000007451"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","80","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-1.log","","314159265","2013/03/13 16:38:06","True","True","1419.8827053992177","1419.8827053992177","604.3999999985099"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","90","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-2.log","","314159265","2013/03/13 16:38:34","True","True","1410.3028247174177","1410.3028247174177","705.2333333343267"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","100","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-3.log","","314159265","2013/03/13 16:41:30","True","True","1425.1883820457472","1425.1883820457472","1200.6166666671634"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","125","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-4.log","","314159265","2013/03/13 16:58:17","True","True","1382.8723164172056","1382.8723164172056","1644.9333333298564"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","150","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-5.log","","314159265","2013/03/13 17:02:57","True","True","1355.5060731977055","1355.5060731977055","1880.8666666671634"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","175","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-6.log","","314159265","2013/03/13 17:19:30","True","True","1341.622912263331","1341.622912263331","2130.4333333335817"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","200","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-7.log","","314159265","2013/03/13 17:19:28","True","True","1338.4157535601323","1338.4157535601323","2518.60000000149"
"LdaCvb","0.1","0.01","","","","","","","","","","","=1740","","250","topic","3","nips","50000","400","","","","","mar-18-nips-ldacvb-job-8.log","","314159265","2013/03/13 17:19:28","True","True","1315.0789190941957","1315.0789190941957","4557.366666667163"
"LdaColGibbs","0.1","0.01","","","","","","","","","","1000","=1740","1","175","topic","3","nips","50000","4000","","","","","mar-18-nips-ldagibbs-job-0.log","20","314159265","2013/03/13 16:03:01","True","True","1226.234604795983","1226.234604795983","1048.699999999255"
"LdaColGibbs","0.1","0.01","","","","","","","","","","1000","=1740","1","200","topic","3","nips","50000","4000","","","","","mar-18-nips-ldagibbs-job-1.log","20","314159265","2013/03/13 16:07:03","True","True","1224.5486607278158","1224.5486607278158","1578.3666666671634"
"LdaColGibbs","0.1","0.01","","","","","","","","","","1000","=1740","1","250","topic","3","nips","50000","4000","","","","","mar-18-nips-ldagibbs-job-2.log","20","314159265","2013/03/13 16:20:05","True","True","1179.817313259606","1179.817313259606","1484.4666666686535"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","1000","=1740","1","150","topic","3","nips","50000","4000","","","","","mar-18-nips-momgibbs-job-0.log","20","314159265","2013/03/13 15:38:26","True","True","1988.4482130318665","1988.4482130318665","795.4166666679084"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","1000","=1740","1","200","topic","3","nips","50000","4000","","","","","mar-18-nips-momgibbs-job-1.log","20","314159265","2013/03/13 15:38:26","True","True","1977.0137641070794","1977.0137641070794","1067.1166666671634"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","1000","=1740","1","250","topic","3","nips","50000","4000","","","","","mar-18-nips-momgibbs-job-2.log","20","314159265","2013/03/13 15:38:26","True","True","1940.2286146436152","1940.2286146436152","1091.6499999985099"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","175","topic","3","nips","50000","200","","","","","mar-18-nips-momvb-job-0.log","","314159265","2013/03/13 15:42:52","True","True","1758.6717574900078","1758.6717574900078","181.39999999850988"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","200","topic","3","nips","50000","200","","","","","mar-18-nips-momvb-job-1.log","","314159265","2013/03/13 15:42:53","True","True","1847.1152451899284","1847.1152451899284","198.11666666716337"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","250","topic","3","nips","50000","200","","","","","mar-18-nips-momvb-job-2.log","","314159265","2013/03/13 15:45:33","True","True","1840.84530329159","1840.84530329159","251.38333333283663"
"LdaCvb","0.1","0.01","","","","","","","","","","","=10788","","175","topic","3","reuters","30000","400","","","","","mar-18-reuters-ldacvb-job-0.log","","314159265","2013/03/13 17:19:59","True","True","776.1630848747573","776.1630848747573","727.0333333313465"
"LdaCvb","0.1","0.01","","","","","","","","","","","=10788","","200","topic","3","reuters","30000","400","","","","","mar-18-reuters-ldacvb-job-1.log","","314159265","2013/03/13 17:21:58","True","True","788.1962691561706","788.1962691561706","2081.9166666679084"
"LdaCvb","0.1","0.01","","","","","","","","","","","=10788","","250","topic","3","reuters","30000","400","","","","","mar-18-reuters-ldacvb-job-2.log","","314159265","2013/03/13 17:44:57","True","True","782.755998081978","782.755998081978","2629.900000002235"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","1000","=10788","1","250","topic","3","reuters","30000","4000","","","","","mar-18-reuters-momgibbs-job-0.log","20","314159265","2013/03/13 17:58:57","True","True","1470.1873517504475","1470.1873517504475","998.6999999992549"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","2","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-0.log","20","314159265","2013/03/06 15:19:27","True","True","1928.0404372333132","1928.0404372333132","145.25"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","3","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-1.log","20","314159265","2013/03/06 15:19:27","True","True","1838.6707889592253","1838.6707889592253","117.26666666567326"
