algor,clusters,dataset,iters,perplexity
LdaCvb,80,20newsclean,400,1439.564119
LdaCvb,90,20newsclean,400,1366.760233
LdaCvb,90,20newsclean,400,1431.341945
LdaCvb,100,20newsclean,400,1390.317797
LdaCvb,100,20newsclean,400,1390.380126
LdaCvb,125,20newsclean,400,1350.68674
LdaCvb,125,20newsclean,400,1375.694316
LdaCvb,150,20newsclean,400,1334.13441
LdaCvb,150,20newsclean,400,1337.370884
LdaCvb,175,20newsclean,400,1303.217531
LdaCvb,175,20newsclean,400,1315.841955
LdaCvb,200,20newsclean,400,1310.566946
LdaCvb,250,20newsclean,400,1288.217574
LdaCvb,2,nips,400,1827.545657
LdaCvb,2,nips,400,1894.793058
LdaCvb,3,nips,400,1731.668667
LdaCvb,3,nips,400,1773.298023
LdaCvb,4,nips,400,1709.69323
LdaCvb,4,nips,400,1744.464957
LdaCvb,5,nips,400,1685.913069
LdaCvb,5,nips,400,1717.991679
LdaCvb,6,nips,400,1658.45254
LdaCvb,6,nips,400,1689.103799
LdaCvb,8,nips,400,1604.599359
LdaCvb,8,nips,400,1685.703931
LdaCvb,10,nips,400,1621.562818
LdaCvb,10,nips,400,1625.360457
LdaCvb,12,nips,400,1587.748782
LdaCvb,12,nips,400,1602.169181
LdaCvb,15,nips,400,1559.306302
LdaCvb,15,nips,400,1581.929017
LdaCvb,20,nips,400,1545.190511
LdaCvb,20,nips,400,1551.104001
LdaCvb,25,nips,400,1509.658373
LdaCvb,25,nips,400,1527.613149
LdaCvb,30,nips,400,1492.785387
LdaCvb,30,nips,400,1537.33362
LdaCvb,35,nips,400,1496.059164
LdaCvb,35,nips,400,1506.339718
LdaCvb,40,nips,400,1477.698507
LdaCvb,40,nips,400,1481.599872
LdaCvb,50,nips,400,1450.25644
LdaCvb,60,nips,400,1437.978844
LdaCvb,70,nips,400,1406.38454
LdaCvb,70,nips,400,1406.38454
LdaCvb,80,nips,400,1419.882705
LdaCvb,80,nips,400,1419.882705
LdaCvb,90,nips,400,1410.302825
LdaCvb,90,nips,400,1410.302825
LdaCvb,100,nips,400,1425.188382
LdaCvb,125,nips,400,1382.872316
LdaCvb,150,nips,400,1355.506073
LdaCvb,175,nips,400,1341.622912
LdaCvb,200,nips,400,1338.415754
LdaCvb,250,nips,400,1315.078919
LdaCvb,2,reuters,400,1335.853448
LdaCvb,2,reuters,400,1345.247085
LdaCvb,3,reuters,400,1209.981417
LdaCvb,3,reuters,400,1214.460208
LdaCvb,4,reuters,400,1124.438291
LdaCvb,4,reuters,400,1143.3859
LdaCvb,5,reuters,400,1085.53432
LdaCvb,5,reuters,400,1101.488584
LdaCvb,6,reuters,400,1045.188258
LdaCvb,6,reuters,400,1067.121841
LdaCvb,8,reuters,400,1044.011576
LdaCvb,8,reuters,400,1053.769468
LdaCvb,10,reuters,400,997.1563954
LdaCvb,10,reuters,400,1005.986121
LdaCvb,12,reuters,400,973.2449108
LdaCvb,12,reuters,400,975.2661525
LdaCvb,15,reuters,400,948.7283452
LdaCvb,15,reuters,400,967.5636428
LdaCvb,20,reuters,400,953.6676432
LdaCvb,20,reuters,400,965.9816498
LdaCvb,25,reuters,400,900.4347945
LdaCvb,25,reuters,400,910.6907584
LdaCvb,30,reuters,400,879.0725674
LdaCvb,30,reuters,400,882.4135224
LdaCvb,35,reuters,400,869.5432995
LdaCvb,35,reuters,400,897.1468372
LdaCvb,40,reuters,400,858.6415511
LdaCvb,40,reuters,400,864.1502505
LdaCvb,50,reuters,400,839.6147193
LdaCvb,50,reuters,400,850.4248173
LdaCvb,60,reuters,400,827.0497374
LdaCvb,60,reuters,400,837.8646411
LdaCvb,70,reuters,400,833.1451265
LdaCvb,70,reuters,400,843.1768033
LdaCvb,80,reuters,400,814.4262534
LdaCvb,80,reuters,400,825.6934497
LdaCvb,90,reuters,400,800.8861648
LdaCvb,90,reuters,400,812.5743584
LdaCvb,100,reuters,400,814.2504822
LdaCvb,100,reuters,400,819.1137308
LdaCvb,125,reuters,400,802.3657163
LdaCvb,150,reuters,400,778.8859759
LdaCvb,175,reuters,400,776.1630849
LdaCvb,175,reuters,400,776.1630849
LdaCvb,200,reuters,400,788.1962692
LdaCvb,250,reuters,400,782.7559981
MultinomialMixtureCvb,2,20newsclean,400,2002.714928
MultinomialMixtureCvb,2,20newsclean,400,2008.080468
MultinomialMixtureCvb,2,20newsclean,400,2043.981843
